1,10,3.8e-05
1,100,0.000372
1,1000,0.022324
1,10000,2.16296
2,10,0.000208
2,100,0.000609
2,1000,0.018588
2,10000,2.22087
10,10,0.016939
10,100,0.011491
10,1000,0.122881
10,10000,3.39583
20,10,0.238303
20,100,0.048047
20,1000,0.562211
20,10000,5.99109
30,10,0.012146
30,100,0.045126
30,1000,0.462601
30,10000,7.01266
1,10,3.7e-05
1,100,0.000331
1,1000,0.022484
1,10000,1.97461
1,10,3.6e-05
1,100,0.000327
1,1000,0.022515
1,10000,1.98501
1,10,6e-05
2,10,0.000318
10,10,0.036705
20,10,0.253549
30,10,0.080511
1,100,0.000188
2,100,0.000943
10,100,0.036611
20,100,1.38072
30,100,0.047964
1,1000,0.015373
2,1000,0.015131
10,1000,0.198513
20,1000,1.55842
30,1000,0.457312
1,10000,1.80368
2,10000,2.0401
10,10000,3.13583
20,10000,5.91423
30,10000,6.3852
1,10,4.3e-05
2,10,0.000321
10,10,0.035589
20,10,0.233904
30,10,0.037723
1,100,0.000265
2,100,0.001263
10,100,0.034968
20,100,1.85993
30,100,0.056294
1,1000,0.015036
2,1000,0.014517
10,1000,0.182375
20,1000,1.06597
30,1000,0.50353
1,10000,1.80623
2,10000,2.03682
10,10000,2.88127
20,10000,6.02879
30,10000,6.81944
1,100000,193.61
2,100000,213.697
10,100000,215.16
20,100000,326.448
30,100000,491.217
1,10,4.1e-05
2,10,0.000307
10,10,0.031883
20,10,1.79236
30,10,0.051879
1,100,0.000161
2,100,0.000715
10,100,0.045483
20,100,1.43979
30,100,0.055081
1,1000,0.015376
2,1000,0.026082
10,1000,0.160899
20,1000,0.536322
30,1000,0.459307
1,10000,2.13405
2,10000,2.03921
10,10000,2.91446
20,10000,7.31565
30,10000,6.47642
1,100000,197.821
2,100000,205.632
10,100000,228.835
20,100000,326.015
30,100000,490.698
1,10,3.5e-05
2,10,0.000307
10,10,0.013187
20,10,1.38147
30,10,0.043758
1,100,0.000161
2,100,0.000705
10,100,0.066179
20,100,0.802985
30,100,0.054734
1,1000,0.015095
2,1000,0.025711
10,1000,0.113098
20,1000,0.424389
30,1000,0.501137
1,10000,2.05795
2,10000,2.14028
10,10000,2.77296
20,10000,5.18726
30,10000,6.35781
1,100000,194.805
2,100000,217.621
10,100000,340.966
20,100000,2518.97
30,100000,485.191
